spring,uframe_route,driver
ooi-ctdmo-ghqr-imodem-decode.xml,Ingest.ctdmo-ghqr-imodem_recovered,mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver
ooi-ctdmo-ghqr-imodem-decode.xml,Ingest.ctdmo-ghqr-imodem_telemetered,mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver
ooi-ctdmo-ghqr-sio-decode.xml,Ingest.ctdmo-ghqr-sio_recovered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_co_recovered_driver
ooi-ctdmo-ghqr-sio-decode.xml,Ingest.ctdmo-ghqr-sio_ctRecovered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_ct_recovered_driver
ooi-ctdmo-ghqr-sio-decode.xml,Ingest.ctdmo-ghqr-sio_telemetered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_telemetered_driver
ooi-ctdpf-ckl-mmp-cds-decode.xml,Ingest.ctdpf-ckl-mmp-cds_recovered,mi.dataset.driver.ctdpf_ckl.mmp_cds.ctdpf_ckl_mmp_cds_recovered_driver
ooi-ctdpf-ckl-wfp-decode.xml,Ingest.ctdpf-ckl-wfp_recovered,mi.dataset.driver.ctdpf_ckl.wfp.ctdpf_ckl_wfp_recovered_driver
ooi-ctdpf-ckl-wfp-decode.xml,Ingest.ctdpf-ckl-wfp_telemetered,mi.dataset.driver.ctdpf_ckl.wfp.ctdpf_ckl_wfp_telemetered_driver
ooi-ctdpf-ckl-wfp-sio-mule-decode.xml,Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,mi.dataset.driver.ctdpf_ckl.wfp_sio.ctdpf_ckl_wfp_sio_telemetered_driver
ooi-ctdpf-j-cspp-decode.xml,Ingest.ctdpf-j-cspp_recovered,mi.dataset.driver.ctdpf_j.cspp.ctdpf_j_cspp_recovered_driver
ooi-ctdpf-j-cspp-decode.xml,Ingest.ctdpf-j-cspp_telemetered,mi.dataset.driver.ctdpf_j.cspp.ctdpf_j_cspp_telemetered_driver
ooi-dbg-pdbg-cspp-decode.xml,Ingest.dbg-pdbg-cspp_recovered,mi.dataset.driver.dbg_pdbg.cspp.dbg_pdbg_cspp_recovered_driver
ooi-dbg-pdbg-cspp-decode.xml,Ingest.dbg-pdbg-cspp_telemetered,mi.dataset.driver.dbg_pdbg.cspp.dbg_pdbg_cspp_telemetered_driver
ooi-deep-profiler-decode.xml,Ingest.deep-profiler_recovered,mi.dataset.driver.dpc.dpc_driver
ooi-dofst-k-wfp-decode.xml,Ingest.dofst-k-wfp_recovered,mi.dataset.driver.dofst_k.wfp.dofst_k_wfp_recovered_driver
ooi-dofst-k-wfp-decode.xml,Ingest.dofst-k-wfp_telemetered,mi.dataset.driver.dofst_k.wfp.dofst_k_wfp_telemetered_driver
ooi-dosta-abcdjm-cspp-decode.xml,Ingest.dosta-abcdjm-cspp_telemetered,mi.dataset.driver.dosta_abcdjm.cspp.dosta_abcdjm_cspp_telemetered_driver
ooi-dosta-abcdjm-cspp-decode.xml,Ingest.dosta-abcdjm-cspp_recovered,mi.dataset.driver.dosta_abcdjm.cspp.dosta_abcdjm_cspp_recovered_driver
ooi-dosta-abcdjm-ctdbp-dcl-decode.xml,Ingest.dosta-abcdjm-ctdbp-dcl_recovered,mi.dataset.driver.dosta_abcdjm.ctdbp.dcl.dosta_abcdjm_ctdbp_dcl_recovered_driver
ooi-dosta-abcdjm-ctdbp-dcl-decode.xml,Ingest.dosta-abcdjm-ctdbp-dcl_telemetered,mi.dataset.driver.dosta_abcdjm.ctdbp.dcl.dosta_abcdjm_ctdbp_dcl_telemetered_driver
ooi-dosta-abcdjm-ctdbp-decode.xml,Ingest.dosta-abcdjm-ctdbp_recovered,mi.dataset.driver.dosta_abcdjm.ctdbp.dosta_abcdjm_ctdbp_recovered_driver
ooi-dosta-abcdjm-ctdbp-p-dcl-decode.xml,Ingest.dosta-abcdjm-ctdbp-p-dcl_recovered,mi.dataset.driver.dosta_abcdjm.ctdbp_p.dcl.dosta_abcdjm_ctdbp_p_dcl_recovered_driver
ooi-dosta-abcdjm-ctdbp-p-dcl-decode.xml,Ingest.dosta-abcdjm-ctdbp-p-dcl_telemetered,mi.dataset.driver.dosta_abcdjm.ctdbp_p.dcl.dosta_abcdjm_ctdbp_p_dcl_telemetered_driver
ooi-dosta-abcdjm-ctdbp-p-decode.xml,Ingest.dosta-abcdjm-ctdbp-p_recovered,mi.dataset.driver.dosta_abcdjm.ctdbp_p.dosta_abcdjm_ctdbp_p_recovered_driver
ooi-dosta-abcdjm-dcl-decode.xml,Ingest.dosta-abcdjm-dcl_recovered,mi.dataset.driver.dosta_abcdjm.dcl.dosta_abcdjm_dcl_recovered_driver
ooi-dosta-abcdjm-dcl-decode.xml,Ingest.dosta-abcdjm-dcl_telemetered,mi.dataset.driver.dosta_abcdjm.dcl.dosta_abcdjm_dcl_telemetered_driver
ooi-dosta-abcdjm-glider-decode.xml,Ingest.dosta-abcdjm-glider_recovered,mi.dataset.driver.moas.gl.dosta.dosta_abcdjm_glider_recovered_driver
ooi-dosta-abcdjm-glider-decode.xml,Ingest.dosta-abcdjm-glider_telemetered,mi.dataset.driver.moas.gl.dosta.dosta_abcdjm_glider_telemetered_driver
ooi-dosta-abcdjm-mmp-cds-decode.xml,Ingest.dosta-abcdjm-mmp-cds_recovered,mi.dataset.driver.dosta_abcdjm.mmp_cds.dosta_abcdjm_mmp_cds_recovered_driver
ooi-dosta-abcdjm-sio-decode.xml,Ingest.dosta-abcdjm-sio_telemetered,mi.dataset.driver.dosta_abcdjm.sio.dosta_abcdjm_sio_telemetered_driver
ooi-dosta-abcdjm-sio-decode.xml,Ingest.dosta-abcdjm-sio_recovered,mi.dataset.driver.dosta_abcdjm.sio.dosta_abcdjm_sio_recovered_driver
ooi-dosta-ln-auv-decode.xml,Ingest.dosta-ln-auv_telemetered,mi.dataset.driver.dosta_ln.auv.dosta_ln_auv_telemetered_driver
ooi-dosta-ln-auv-decode.xml,Ingest.dosta-ln-auv_recovered,mi.dataset.driver.dosta_ln.auv.dosta_ln_auv_recovered_driver
ooi-dosta-ln-wfp-decode.xml,Ingest.dosta-ln-wfp_recovered,mi.dataset.driver.dosta_ln.wfp.dosta_ln_wfp_driver
ooi-dosta-ln-wfp-sio-mule-decode.xml,Ingest.dosta-ln-wfp-sio-mule_telemetered,mi.dataset.driver.dosta_ln.wfp_sio.dosta_ln_wfp_sio_telemetered_driver
ooi-fdchp-a-dcl-decode.xml,Ingest.fdchp-a-dcl_telemetered,mi.dataset.driver.fdchp_a.dcl.fdchp_a_dcl_telemetered_driver
ooi-fdchp-a-dcl-decode.xml,Ingest.fdchp-a-dcl_recovered,mi.dataset.driver.fdchp_a.dcl.fdchp_a_dcl_recovered_driver
ooi-fdchp-a-decode.xml,Ingest.fdchp-a_recovered,mi.dataset.driver.fdchp_a.fdchp_a_recovered_driver
ooi-flcdr-x-mmp-cds-decode.xml,Ingest.flcdr-x-mmp-cds_recovered,mi.dataset.driver.flntu_x.mmp_cds.flcdr_x_mmp_cds_recovered_driver
ooi-flntu-x-mmp-cds-decode.xml,Ingest.flntu-x-mmp-cds_recovered,mi.dataset.driver.flntu_x.mmp_cds.flntu_x_mmp_cds_recovered_driver
ooi-flobn-c-subcon-decode.xml,Ingest.flobn-c-subcon_recovered,mi.dataset.driver.flobn.flobn_c_subcon_recovered_driver
ooi-flobn-m-subcon-decode.xml,Ingest.flobn-m-subcon_recovered,mi.dataset.driver.flobn.flobn_m_subcon_recovered_driver
ooi-flobn-m-subcon-temperature-decode.xml,Ingest.flobn-m-subcon-temperature_recovered,mi.dataset.driver.flobn.flobn_m_subcon_temperature_recovered_driver
ooi-flord-g-ctdbp-p-dcl-decode.xml,Ingest.flord-g-ctdbp-p-dcl_recovered,mi.dataset.driver.flord_g.ctdbp_p.dcl.flord_g_ctdbp_p_dcl_recovered_driver
ooi-flord-g-ctdbp-p-dcl-decode.xml,Ingest.flord-g-ctdbp-p-dcl_telemetered,mi.dataset.driver.flord_g.ctdbp_p.dcl.flord_g_ctdbp_p_dcl_telemetered_driver
ooi-flord-g-ctdbp-p-decode.xml,Ingest.flord-g-ctdbp-p_recovered,mi.dataset.driver.flord_g.ctdbp_p.flord_g_ctdbp_p_recovered_driver
ooi-flord-l-wfp-decode.xml,Ingest.flord-l-wfp_recovered,mi.dataset.driver.flord_l_wfp.flord_l_wfp_recovered_driver
ooi-flord-l-wfp-sio-decode.xml,Ingest.flord-l-wfp-sio_telemetered,mi.dataset.driver.flord_l_wfp.sio.flord_l_wfp_sio_telemetered_driver
ooi-flord-m-glider-decode.xml,Ingest.flord-m-glider_recovered,mi.dataset.driver.moas.gl.flord_m.flord_m_glider_recovered_driver
ooi-flord-m-glider-decode.xml,Ingest.flord-m-glider_telemetered,mi.dataset.driver.moas.gl.flord_m.flord_m_glider_telemetered_driver
ooi-flort-dj-cspp-decode.xml,Ingest.flort-dj-cspp_recovered,mi.dataset.driver.flort_dj.cspp.flort_dj_cspp_recovered_driver
ooi-flort-dj-cspp-decode.xml,Ingest.flort-dj-cspp_telemetered,mi.dataset.driver.flort_dj.cspp.flort_dj_cspp_telemetered_driver
ooi-flort-dj-dcl-decode.xml,Ingest.flort-dj-dcl_recovered,mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_recovered_driver
ooi-flort-dj-dcl-decode.xml,Ingest.flort-dj-dcl_telemetered,mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_telemetered_driver
ooi-flort-dj-sio-decode.xml,Ingest.flort-dj-sio_recovered,mi.dataset.driver.flort_dj.sio.flort_dj_sio_recovered_driver
ooi-flort-dj-sio-decode.xml,Ingest.flort-dj-sio_telemetered,mi.dataset.driver.flort_dj.sio.flort_dj_sio_telemetered_driver
ooi-flort-kn-auv-decode.xml,Ingest.flort-kn-auv_telemetered,mi.dataset.driver.flort_kn.auv.flort_kn_auv_telemetered_driver
ooi-flort-kn-auv-decode.xml,Ingest.flort-kn-auv_recovered,mi.dataset.driver.flort_kn.auv.flort_kn_auv_recovered_driver
ooi-flort-kn-stc-imodem-decode.xml,Ingest.flort-kn-stc-imodem_recovered,mi.dataset.driver.flort_kn.stc_imodem.flort_kn__stc_imodem_recovered_driver
ooi-flort-kn-stc-imodem-decode.xml,Ingest.flort-kn-stc-imodem_telemetered,mi.dataset.driver.flort_kn.stc_imodem.flort_kn__stc_imodem_telemetered_driver
ooi-flort-m-glider-decode.xml,Ingest.flort-m-glider_recovered,mi.dataset.driver.moas.gl.flort_m.flort_m_glider_recovered_driver
ooi-flort-m-glider-decode.xml,Ingest.flort-m-glider_telemetered,mi.dataset.driver.moas.gl.flort_m.flort_m_glider_telemetered_driver
ooi-flort-o-glider-decode.xml,Ingest.flort-o-glider_recovered,mi.dataset.driver.moas.gl.flort_o.flort_o_glider_recovered_driver
ooi-flort-o-glider-decode.xml,Ingest.flort-o-glider_telemetered,mi.dataset.driver.moas.gl.flort_o.flort_o_glider_telemetered_driver
ooi-fuelcell-eng-dcl-decode.xml,Ingest.fuelcell-eng-dcl_telemetered,mi.dataset.driver.fuelcell_eng.dcl.fuelcell_eng_dcl_telemetered_driver
ooi-fuelcell-eng-dcl-decode.xml,Ingest.fuelcell-eng-dcl_recovered,mi.dataset.driver.fuelcell_eng.dcl.fuelcell_eng_dcl_recovered_driver
ooi-glider-eng-glider-decode.xml,Ingest.glider-eng-glider_recovered,mi.dataset.driver.moas.gl.engineering.glider_eng_glider_recovered_driver
ooi-glider-eng-glider-decode.xml,Ingest.glider-eng-glider_telemetered,mi.dataset.driver.moas.gl.engineering.glider_eng_glider_telemetered_driver
ooi-hyd-o-dcl-decode.xml,Ingest.hyd-o-dcl_telemetered,mi.dataset.driver.hyd_o.dcl.hyd_o_dcl_telemetered_driver
ooi-hyd-o-dcl-decode.xml,Ingest.hyd-o-dcl_recovered,mi.dataset.driver.hyd_o.dcl.hyd_o_dcl_recovered_driver
ooi-metbk-a-dcl-decode.xml,Ingest.metbk-a-dcl_recovered,mi.dataset.driver.metbk_a.dcl.metbk_a_dcl_recovered_driver
ooi-metbk-a-dcl-decode.xml,Ingest.metbk-a-dcl_telemetered,mi.dataset.driver.metbk_a.dcl.metbk_a_dcl_telemetered_driver
ooi-mopak-o-dcl-decode.xml,Ingest.mopak-o-dcl_recovered,mi.dataset.driver.cg_stc_eng.stc.mopak_o_dcl_recovered_driver
ooi-mopak-o-dcl-decode.xml,Ingest.mopak-o-dcl_telemetered,mi.dataset.driver.cg_stc_eng.stc.mopak_o_dcl_telemetered_driver
ooi-nutnr-b-dcl-conc-decode.xml,Ingest.nutnr-b-dcl-conc_recovered,mi.dataset.driver.nutnr_b.dcl_conc.nutnr_b_dcl_conc_recovered_driver
ooi-nutnr-b-dcl-conc-decode.xml,Ingest.nutnr-b-dcl-conc_telemetered,mi.dataset.driver.nutnr_b.dcl_conc.nutnr_b_dcl_conc_telemetered_driver
ooi-nutnr-b-dcl-full-decode.xml,Ingest.nutnr-b-dcl-full_recovered,mi.dataset.driver.nutnr_b.dcl_full.nutnr_b_dcl_full_recovered_driver
ooi-nutnr-b-dcl-full-decode.xml,Ingest.nutnr-b-dcl-full_telemetered,mi.dataset.driver.nutnr_b.dcl_full.nutnr_b_dcl_full_telemetered_driver
ooi-nutnr-b-decode.xml,Ingest.nutnr-b_recovered,mi.dataset.driver.nutnr_b.nutnr_b_recovered_driver
