spring,uframe_route,driver
ooi-vel3d-cd-dcl-decode.xml,Ingest.vel3d-cd-dcl_telemetered,mi.dataset.driver.vel3d_cd.dcl.vel3d_cd_dcl_telemetered_driver
ooi-vel3d-cd-dcl-decode.xml,Ingest.vel3d-cd-dcl_recovered,mi.dataset.driver.vel3d_cd.dcl.vel3d_cd_dcl_recovered_driver
ooi-vel3d-k-wfp-stc-decode.xml,Ingest.vel3d-k-wfp-stc_recovered,mi.dataset.driver.vel3d_k.wfp.vel3d_k_wfp_recovered_driver
ooi-vel3d-k-wfp-stc-decode.xml,Ingest.vel3d-k-wfp-stc_telemetered,mi.dataset.driver.vel3d_k.wfp_stc.vel3d_k_wfp_stc_telemetered_driver
ooi-vel3d-l-wfp-decode.xml,Ingest.vel3d-l-wfp_recovered,mi.dataset.driver.vel3d_l.wfp.vel3d_l_wfp_recovered_driver
ooi-vel3d-l-wfp-sio-decode.xml,Ingest.vel3d-l-wfp-sio_telemetered,mi.dataset.driver.vel3d_l.wfp.sio.vel3d_l_wfp_sio_telemetered_driver
ooi-velpt-ab-dcl-decode.xml,Ingest.velpt-ab-dcl_recovered,mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver
ooi-velpt-ab-dcl-decode.xml,Ingest.velpt-ab-dcl_telemetered,mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_telemetered_driver
ooi-velpt-ab-decode.xml,Ingest.velpt-ab_recovered,mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver
ooi-velpt-j-cspp-decode.xml,Ingest.velpt-j-cspp_telemetered,mi.dataset.driver.velpt_j.cspp.velpt_j_cspp_telemetered_driver
ooi-velpt-j-cspp-decode.xml,Ingest.velpt-j-cspp_recovered,mi.dataset.driver.velpt_j.cspp.velpt_j_cspp_recovered_driver
ooi-wavss-a-dcl-full-decode.xml,Ingest.wavss-a-dcl-full_recovered,mi.dataset.driver.wavss_a.dcl.wavss_a_dcl_recovered_driver
ooi-wavss-a-dcl-full-decode.xml,Ingest.wavss-a-dcl-full_telemetered,mi.dataset.driver.wavss_a.dcl.wavss_a_dcl_telemetered_driver
ooi-wc-hmr-cspp-decode.xml,Ingest.wc-hmr-cspp_telemetered,mi.dataset.driver.wc_hmr.cspp.wc_hmr_cspp_telemetered_driver
ooi-wc-hmr-cspp-decode.xml,Ingest.wc-hmr-cspp_recovered,mi.dataset.driver.wc_hmr.cspp.wc_hmr_cspp_recovered_driver
ooi-wc-sbe-cspp-decode.xml,Ingest.wc-sbe-cspp_recovered,mi.dataset.driver.wc_sbe.cspp.wc_sbe_cspp_recovered_driver
ooi-wc-sbe-cspp-decode.xml,Ingest.wc-sbe-cspp_telemetered,mi.dataset.driver.wc_sbe.cspp.wc_sbe_cspp_telemetered_driver
ooi-wc-wm-cspp-decode.xml,Ingest.wc-wm-cspp_telemetered,mi.dataset.driver.wc_wm.cspp.wc_wm_cspp_telemetered_driver
ooi-wc-wm-cspp-decode.xml,Ingest.wc-wm-cspp_recovered,mi.dataset.driver.wc_wm.cspp.wc_wm_cspp_recovered_driver
ooi-wfp-eng-stc-imodem-decode.xml,Ingest.wfp-eng-stc-imodem_recovered,mi.dataset.driver.WFP_ENG.STC_IMODEM.wfp_eng_stc_imodem_recovered_driver
ooi-wfp-eng-stc-imodem-decode.xml,Ingest.wfp-eng-stc-imodem_telemetered,mi.dataset.driver.WFP_ENG.STC_IMODEM.wfp_eng_stc_imodem_telemetered_driver
ooi-wfp-eng-wfp-sio-mule-decode.xml,Ingest.wfp-eng-wfp-sio-mule_telemetered,mi.dataset.driver.WFP_ENG.wfp_sio.wfp_eng_wfp_sio_telemetered_driver
ooi-winch-cspp-decode.xml,Ingest.winch-cspp_telemetered,mi.dataset.driver.winch_cspp.winch_cspp_driver
ooi-zplsc-c-dcl-decode.xml,Ingest.zplsc-c-dcl_telemetered,mi.dataset.driver.zplsc_c.dcl.zplsc_c_dcl_telemetered_driver
ooi-zplsc-c-decode.xml,Ingest.zplsc-c_recovered,mi.dataset.driver.zplsc_c.zplsc_c_recovered_driver
